occupation_id,occupation_name,competency_unit
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),mengembangkan dan memelihara hubungan dengan pemangku kepentingan internal dan eksternal
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),mengevaluasi dan melaporkan kemajuan program tik
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),menyelesaikan masalah dan tantangan program tik
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),merancang antarmuka pengguna yang sesuai dengan kebutuhan proyek tujuan bisnis
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),mengembangkan kode program sesuai kebutuhan
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),mengintegrasikan layanan pihak ketiga
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),mengoptimalisasikan kinerja situs web
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),menentukan prioritas proyek dan menyesuaikan kecepatan pelaksanaan dengan memaksimalkan sumber daya yang ada
TIK.ITG0803,KEPALA MANAJEMEN PROGRAM (LEAD PROGRAM MANAGEMENT),mengelola beberapa proyek terkait untuk peningkatan kinerja organisasi
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),"orang yang bertanggung jawab atas pengelolaan portofolio proyek ti suatu organisasi. peran ini mencakup berbagai tanggung jawab yang berkaitan dengan perencanaan, pengawasan, dan pengelolaan sejumlah proyek ti yang berbeda dalam satu portofolio."
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),memimpin dan mengelola tim pengembangan dan implementasi portofolio proyek ti perusahaan
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),memastikan bahwa portofolio proyek ti perusahaan sesuai dengan strategi ti perusahaan dan kebutuhan bisnis
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),komunikatif
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),senang dengan teknologi baru
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),teamwork
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),merencanakan dan mengorganisasi pekerjaan
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),sadar biaya
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),teliti
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),mengoptimalkan kinerja aplikasi dan perangkat lunak yang dikembangkan
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),"memelihara aplikasi yang ada, mencakup perbaikan bug, pembaruan perangkat lunak dan peningkatan fungsionalitas sesuai kebutuhan"
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),"mengelola dan memelihara server unix, mengonfigurasi system dan memecahkan masalah system"
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),melakukan negosiasi dengan pemangku kepentingan internal dan eksternal
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),mendelegasikan tugas kepada tim proyek tik
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),menganggarkan dan mengalokasikan sumber daya
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),mengambil keputusan terkait portofolio proyek tik
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),mengawasi perubahan dan memperkirakan resikonya
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),mengelola penyebaran sumber daya organisasi
TIK.ITG0804,KEPALA PORTOFOLIO PROYEK TI (LEAD IT PROJECT PORTFOLIO),mengestimasi biaya dan pengalokasiannya
TIK.ITG0805,SPESIALIS PENASIHAT TI (SPECIALIST IT ADVISOR),membantu merancang dan menerapkan solusi it
